"Timestamp","When purchasing an electronic device do you consider how easy it would be to repair? ","If you answered ""sometimes"" to the above question could you please detail under what circumstances you would ","Would you ever purchase a broken electronic device with the intent to repair it for use? ","If an electronic device you own breaks would you attempt a repair before finding a replacement? ","Where would you source your instructions for the repair of an electronic device if you were to attempt one? (may select more than 1)","When repairing, what device would you be most likely to use to view instructions on? (select all that apply) ","What would prevent you from attempting a repair on an electronic device? (may select more than 1)","Do you think that modern electronic devices are harder to repair than older items? ","Do you believe that the right to repair should be protected and that manufacturers should be made to make their products repair-friendly? "
"2019/10/28 4:44:42 PM GMT+1","No","","No","Yes","Youtube/Online Video","Mobile phone / tablet","Lack of access to appropriate tools","Yes","Unsure"
"2019/10/28 4:45:26 PM GMT+1","Sometimes","Nature of device - expensive or likely to require repair, I would ","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/28 4:58:04 PM GMT+1","No","","No","Yes","Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 4:58:51 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 5:06:04 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 5:06:22 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Issues with sourcing replacement parts","No","Yes"
"2019/10/28 5:10:45 PM GMT+1","Sometimes","I would replace a battery in a sealed unit.","No","Yes","Youtube/Online Video","Mobile phone / tablet","Lack of access to appropriate tools","Yes","Yes"
"2019/10/28 5:18:00 PM GMT+1","No","","Yes","Yes","Websites","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","No","No"
"2019/10/28 5:23:58 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Television;Mobile phone / tablet","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 5:52:10 PM GMT+1","Sometimes","Depends on price. ","Maybe","Yes","Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 6:06:43 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 6:06:59 PM GMT+1","No","","Maybe","Maybe","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 6:10:11 PM GMT+1","No","","Yes","Yes","Websites;Take it to bits and have a look","N/A","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 6:14:39 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 6:14:55 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 6:15:38 PM GMT+1","Sometimes","Likely affordability of repair","Yes","Yes","Websites","Computer / laptop","Design choices by the manufacturer;Lack of skill","Yes","Yes"
"2019/10/28 6:17:09 PM GMT+1","Sometimes","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop;Washing machine","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/28 6:17:15 PM GMT+1","No","","No","Yes","Websites","Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
